Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp ,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
30-Jan-24,EQ,"1,200.00","1,217.20","1,181.00","1,196.65","1,190.00","1,187.35","1,201.21","1,229.90",395.1,"46,83,729","5,62,61,28,139.65","2,05,145"
29-Jan-24,EQ,"1,155.00","1,204.90","1,151.00","1,146.30","1,194.40","1,196.65","1,187.60","1,229.90",395.1,"67,68,033","8,03,76,99,306.80","2,10,651"
25-Jan-24,EQ,"1,122.15","1,155.75","1,111.60","1,120.60","1,151.00","1,146.30","1,131.49","1,229.90",395.1,"43,05,042","4,87,11,15,814.05","1,21,929"
24-Jan-24,EQ,"1,138.00","1,146.75","1,118.35","1,137.10","1,123.25","1,120.60","1,123.24","1,229.90",395.1,"1,83,73,913","20,63,82,34,493.70","3,27,148"
23-Jan-24,EQ,"1,199.15","1,207.20","1,130.25","1,193.00","1,142.00","1,137.10","1,171.83","1,229.90",395.1,"72,01,014","8,43,83,80,301.65","1,57,053"
20-Jan-24,EQ,"1,158.90","1,198.75","1,150.00","1,152.45","1,190.90","1,193.00","1,177.57","1,229.90",395.1,"25,21,107","2,96,87,92,425.95","74,669"
19-Jan-24,EQ,"1,162.25","1,166.80","1,150.00","1,154.05","1,153.00","1,152.45","1,156.65","1,229.90",395.1,"27,32,559","3,16,06,14,748.45","1,25,289"
18-Jan-24,EQ,"1,171.05","1,184.30","1,143.45","1,166.85","1,155.00","1,154.05","1,159.02","1,229.90",395.1,"59,18,594","6,85,97,50,083.00","1,46,812"
17-Jan-24,EQ,"1,180.00","1,204.70","1,159.45","1,193.35","1,169.90","1,166.85","1,180.10","1,229.90",395.1,"52,68,593","6,21,74,46,859.35","1,25,671"
16-Jan-24,EQ,"1,203.60","1,212.00","1,186.80","1,203.10","1,194.50","1,193.35","1,198.10","1,229.90",395.1,"31,73,587","3,80,22,82,142.75","1,11,688"
15-Jan-24,EQ,"1,214.00","1,215.35","1,189.10","1,207.10","1,203.60","1,203.10","1,203.36","1,229.90",395.1,"28,25,654","3,40,02,66,862.85","97,303"
12-Jan-24,EQ,"1,210.40","1,218.75","1,201.05","1,202.95","1,207.00","1,207.10","1,209.70","1,229.90",395.1,"39,12,779","4,73,32,92,436.50","1,16,213"
11-Jan-24,EQ,"1,221.00","1,223.60","1,200.00","1,214.35","1,204.00","1,202.95","1,209.03","1,229.90",395.1,"37,21,202","4,49,90,38,845.70","1,42,091"
10-Jan-24,EQ,"1,220.00","1,220.00","1,197.00","1,197.10","1,215.20","1,214.35","1,209.01","1,229.90",395.1,"70,36,728","8,50,75,05,783.00","1,42,375"
9-Jan-24,EQ,"1,182.00","1,229.90","1,178.50","1,168.85","1,200.95","1,197.10","1,205.17","1,229.90",395.1,"1,47,01,104","17,71,72,72,726.45","3,33,249"
8-Jan-24,EQ,"1,160.00","1,182.00","1,152.00","1,154.25","1,172.40","1,168.85","1,169.58","1,182.00",395.1,"87,60,094","10,24,56,00,240.30","1,90,134"
5-Jan-24,EQ,"1,129.10","1,160.00","1,125.40","1,123.20","1,153.00","1,154.25","1,146.58","1,160.00",395.1,"1,06,22,789","12,17,98,24,453.45","2,18,484"
4-Jan-24,EQ,"1,117.00","1,131.00","1,103.55","1,094.25","1,122.00","1,123.20","1,116.97","1,144.00",395.1,"97,71,995","10,91,50,25,415.55","2,30,197"
3-Jan-24,EQ,"1,105.00","1,144.00","1,062.75","1,078.40","1,095.40","1,094.25","1,106.85","1,144.00",395.1,"3,30,60,778","36,59,34,78,297.45","6,58,513"
2-Jan-24,EQ,"1,047.85","1,082.90","1,031.10","1,047.85","1,079.00","1,078.40","1,062.31","1,102.40",395.1,"63,44,621","6,73,99,35,310.35","1,63,681"
1-Jan-24,EQ,"1,026.55","1,057.95","1,023.00","1,024.35","1,041.10","1,047.85","1,046.35","1,102.40",395.1,"39,89,711","4,17,46,43,148.75","1,00,539"
29-Dec-23,EQ,"1,021.80","1,034.90","1,017.60","1,016.95","1,023.00","1,024.35","1,026.41","1,102.40",395.1,"24,29,250","2,49,33,97,287.15","65,509"
28-Dec-23,EQ,"1,029.55","1,031.20","1,014.65","1,024.40","1,019.95","1,016.95","1,019.24","1,102.40",395.1,"48,65,603","4,95,92,02,945.20","95,099"
27-Dec-23,EQ,"1,037.00","1,037.05","1,018.00","1,028.75","1,025.50","1,024.40","1,026.87","1,102.40",395.1,"28,03,997","2,87,93,39,103.05","1,21,999"
26-Dec-23,EQ,"1,034.10","1,041.00","1,026.10","1,027.50","1,027.00","1,028.75","1,031.97","1,102.40",395.1,"21,76,775","2,24,63,71,709.90","88,584"
22-Dec-23,EQ,"1,034.00","1,050.95","1,019.00","1,018.95","1,028.00","1,027.50","1,033.87","1,102.40",395.1,"52,52,106","5,42,99,79,268.30","1,27,018"
21-Dec-23,EQ,996.15,"1,028.00",989.25,"1,012.15","1,025.45","1,018.95","1,016.45","1,102.40",395.1,"53,52,057","5,44,00,73,860.60","1,71,620"
20-Dec-23,EQ,"1,078.00","1,083.85","1,005.00","1,074.00","1,007.00","1,012.15","1,049.86","1,102.40",395.1,"84,67,564","8,88,97,83,034.35","1,82,290"
19-Dec-23,EQ,"1,095.00","1,099.00","1,068.60","1,094.30","1,075.00","1,074.00","1,080.85","1,102.40",395.1,"59,93,252","6,47,78,13,788.20","1,32,457"
18-Dec-23,EQ,"1,079.00","1,102.40","1,072.75","1,078.55","1,090.00","1,094.30","1,090.52","1,102.40",395.1,"54,48,342","5,94,15,24,074.50","1,14,853"
15-Dec-23,EQ,"1,079.00","1,086.50","1,067.05","1,074.70","1,078.00","1,078.55","1,078.18","1,089.90",395.1,"1,16,72,787","12,58,53,31,077.30","1,66,848"
14-Dec-23,EQ,"1,080.00","1,089.90","1,063.00","1,063.50","1,073.00","1,074.70","1,072.87","1,089.90",395.1,"80,04,131","8,58,73,61,365.30","1,85,156"
13-Dec-23,EQ,"1,045.00","1,075.00","1,028.80","1,041.95","1,074.00","1,063.50","1,047.81","1,082.50",395.1,"81,51,639","8,54,13,89,122.65","1,73,343"
12-Dec-23,EQ,"1,037.05","1,048.45","1,023.25","1,031.90","1,039.55","1,041.95","1,038.57","1,082.50",395.1,"49,02,289","5,09,13,82,444.55","1,24,557"
